listing_id,date
325478,2012-06-05
325478,2012-06-14
325478,2012-08-01
325478,2012-08-19
325478,2012-08-24
325478,2012-09-04
325478,2012-09-12
325478,2012-09-18
325478,2012-10-16
325478,2013-03-12
325478,2013-03-29
325478,2013-04-12
325478,2013-04-17
325478,2013-04-26
325478,2013-05-04
325478,2013-05-10
325478,2013-05-14
325478,2013-05-21
325478,2013-05-25
325478,2013-08-13
325478,2013-08-28
325478,2013-09-24
325478,2013-10-22
325478,2013-10-30
325478,2013-11-04
325478,2013-11-12
325478,2014-05-12
325478,2014-05-25
325478,2014-08-05
325478,2014-08-14
325478,2014-08-25
325478,2014-08-28
325478,2015-01-04
325478,2015-01-13
325478,2015-04-06
325478,2015-04-12
1709713,2013-10-16
1709713,2013-10-17
1709713,2013-12-02
1709713,2013-12-27
1709713,2014-05-26
1709713,2014-05-27
1709713,2014-06-16
1709713,2014-08-23
1709713,2014-09-28
1709713,2015-03-01
1709713,2015-03-08
1709713,2015-04-04
1709713,2015-04-26
3105361,2014-07-03
3105361,2014-07-10
3105361,2014-07-25
3105361,2014-07-31
3105361,2014-08-05
3105361,2014-08-11
3105361,2014-08-30
3105361,2014-08-31
3105361,2014-09-28
3105361,2014-10-25
3105361,2014-10-26
3105361,2014-11-30
3105361,2014-12-07
3105361,2014-12-28
3105361,2014-12-31
3105361,2015-01-01
3105361,2015-01-19
3105361,2015-02-15
4768479,2015-04-12
2935856,2014-05-28
2935856,2014-06-05
2935856,2014-06-18
2935856,2014-06-24
2935856,2014-07-01
2935856,2014-07-20
2935856,2014-07-28
2935856,2014-08-01
2935856,2014-08-07
2935856,2014-08-28
2935856,2014-10-31
2935856,2014-11-23
2935856,2015-02-09
2935856,2015-03-04
1763420,2014-01-04
2578363,2014-10-12
2578363,2014-10-25
2578363,2015-03-04
2578363,2015-03-08
2578363,2015-03-29
4264469,2014-10-17
4264469,2015-05-04
110941,2011-11-12
110941,2011-11-15
